1,PropertyID,Street,City   ,ZipCode,Legal,SEV,Status,Closing date
40,17001966,8108 WOODLAWN,DETROIT,48213,"S WOODLAWN 127 ABBOTT & BEYMERS VAN DYKE AVE SUB NO 2 L29 P20 PLATS, W C R 17/420 30 X 115","$12,200 ",Active, 10-23-018 9:15:00 AM
41,17002082,8187 TRAVERSE,DETROIT,48213,"N TRAVERSE 68 ABBOTT & BEYMERS VAN DYKE AVE SUB NO 2 L29 P20 PLATS, W C R 17/420 30 X 114","$6,500 ",Active, 10-23-018 9:15:00 AM
42,17002105,8234 GRINNELL,DETROIT,48213,"S GRINNELL 19 ABBOTT & BEYMERS VAN DYKE AVE SUB L29 P19 PLATS, W C R 17/421 30 X 114","$6,200 ",Active, 10-23-018 9:15:00 AM
43,17004245,11351 E MCNICHOLS,DETROIT,48234,"N--E MC NICHOLS RD 15&16 TEPPERTS PARK VIEW SUB L46 P83 PLATS, W C R 17/243 45.59 X 112.20","$20,000 ",Active, 10-23-018 9:15:00 AM
44,17004487,8121 STOCKTON,DETROIT,48234,"N STOCKTON 95 HARRAHS VAN DYKE PARK SUB L36 P76 PLATS, W C R 17/464 30 X 108.90","$5,500 ",Active, 10-23-018 9:15:00 AM
45,17004894,8291 E BRENTWOOD,DETROIT,48234,"N BRENTWOOD E 30 W 7 FT 29 FREDERICK GROVE SUB L37 P96 PLATS, W C R 17/478 38 X 100","$8,200 ",Active, 10-23-018 9:15:00 AM
46,17005185,11395 E SEVEN MILE,DETROIT,48234,"N--E SEVEN MILE RD 226 SKRZYCKI-KONCZAL SUB L45 P25 PLATS, W C R 17/504 23.33 IRREG","$25,700 ",Active, 10-23-018 9:15:00 AM
47,17006728,5390 SENECA,DETROIT,48213,"E SENECA 21 STEPHENSON & TREBEIN CO SUB L27 P48 PLATS, W C R 17/205 30 X 110","$4,200 ",Active, 10-23-018 9:15:00 AM
48,22021081,15444 APPOLINE,DETROIT,48227,"E APPOLINE 60 SITERLET ESTATES SUB L46 P74 PLATS, W C R 22/50 40 X 106","$12,700 ",Active, 10-23-018 9:15:00 AM
49,22021088,15498 APPOLINE,DETROIT,48227,"E APPOLINE 67 SITERLET ESTATES SUB L46 P74 PLATS, W C R 22/50 40 X 106","$14,200 ",Active, 10-23-018 9:15:00 AM
